Date,Total_Likes,Total_Follows
1/17/19,82985,83444
1/18/19,82983,83442
1/19/19,82978,83437
1/20/19,82978,83437
1/21/19,83019,83480
1/22/19,83031,83492
1/23/19,83062,83523
1/24/19,83084,83545
1/25/19,83083,83545
1/26/19,83078,83538
1/27/19,83075,83535
1/28/19,83073,83534
1/29/19,83073,83534
1/30/19,83067,83528
1/31/19,83066,83527
2/1/19,83063,83524
2/2/19,83055,83517
2/3/19,83051,83513
2/4/19,83049,83512
2/5/19,83046,83509
2/6/19,83042,83505
2/7/19,83044,83507
2/8/19,83042,83504
2/9/19,83045,83508
2/10/19,83041,83504
2/11/19,83043,83506
2/12/19,83040,83503
2/13/19,83038,83501
2/14/19,83033,83496
2/15/19,83027,83490
2/16/19,83022,83487
2/17/19,83014,83479
2/18/19,83012,83477
2/19/19,83014,83478
2/20/19,83013,83478
2/21/19,83016,83481
2/22/19,83014,83479
2/23/19,83014,83479
2/24/19,83010,83476
2/25/19,83008,83474
2/26/19,83010,83477
2/27/19,83011,83478
2/28/19,83010,83477
3/1/19,83010,83477
3/2/19,83009,83476
3/3/19,83008,83475
3/4/19,83010,83477
3/5/19,83012,83479
3/6/19,83012,83479
3/7/19,83012,83479
3/8/19,83009,83476
3/9/19,83011,83478
3/10/19,83006,83473
3/11/19,83003,83470
3/12/19,82999,83466
3/13/19,82997,83465
3/14/19,82997,83465
3/15/19,82995,83463
3/16/19,82993,83460
3/17/19,82987,83454
3/18/19,82981,83448
3/19/19,82979,83447
3/20/19,82979,83447
3/21/19,82974,83442
3/22/19,82976,83444
3/23/19,82977,83445
3/24/19,82972,83441
3/25/19,82967,83436
3/26/19,82973,83444
3/27/19,82987,83461
3/28/19,82997,83472
3/29/19,83002,83477
3/30/19,83009,83486
3/31/19,83014,83493
4/1/19,83017,83497
4/2/19,83019,83499
4/3/19,83025,83506
4/4/19,83034,83516
4/5/19,83043,83526
4/6/19,83053,83536
4/7/19,83059,83543
4/8/19,83064,83548
4/9/19,83065,83550
4/10/19,83063,83548
4/11/19,83065,83550
4/12/19,83071,83557
4/13/19,83083,83570
4/14/19,83089,83576
